生物,0.04531673274609354
东方,0.026179114117077195
买入,0.023456701530291887
安旭,0.02156850433253799
SH688075,0.018280978095118493
SH688298,0.014921691394126406
上涨,0.014903751278233257
都,0.008602285570764787
主力,0.008292818571607973
复星,0.00812238747062306
不,0.008001291688344308
看多,0.007472058269496421
爱心,0.0073823576900306775
跌,0.006346315997201342
 ,0.005983028650365082
明天,0.005835022694246605
医药,0.005386519796917888
火箭,0.005000807305215192
业绩,0.0049245618126693095
大笑,0.004852801349096715
加油,0.004834861233203567
买,0.0046958253350316646
股,0.004547819378913188
涨,0.004404298451767998
公司,0.004363933191008414
满仓,0.0043280529592221164
还,0.004278717640515958
垃圾,0.004175561974130353
好,0.003758454279614646
检测,0.0037360291347482105
元,0.003588023178629734
献花,0.0034489872804578316
涨停,0.003193340628980463
月,0.003188855600007176
利好,0.0031440053102743046
大,0.003085699933621571
亿,0.0029646041513428176
加仓,0.002767262876518182
色,0.0027448377316517465
没,0.0027268976157585976
股价,0.0026282269783462803
得意,0.0025205862829873883
再,0.0024981611381209522
走,0.0024219156455750706
九安,0.0024174306166017834
新冠,0.002386035413788773
看,0.0022335444286970094
抗原,0.0021842091099908505
公告,0.002161783965124415
拉升,0.00209002350155182
龙头,0.0020810534436052457
兴奋,0.0020675983566853843
板块,0.0020496582407922353
说,0.0020496582407922353
融资,0.002031718124899087
下跌,0.0020227480669525125
人,0.0020182630379792254
强壮,0.001955472632353205
哭,0.001928562458513482
散户,0.0018971672557004718
年,0.001879227139807323
跑,0.0018702570818607488
日,0.0018523169659676
上,0.0018298918211011642
牛,0.001825406792127877
卖出,0.001825406792127877
…,0.0017850415313682927
股票,0.0017760714734217182
董秘,0.0017760714734217182
卖,0.0017357062126621338
做,0.001717766096768985
下午,0.001713281067795698
砸,0.001690855922929262
旺柴,0.001690855922929262
医疗,0.0016190954593566674
天天,0.0016190954593566674
想,0.001605640372436806
梭哈,0.001605640372436806
跌停,0.001605640372436806
财神,0.0015966703144902315
机构,0.001578730198597083
42,0.0015383649378374984
成交,0.0015338799088642112
韭菜,0.001524909850917637
热景,0.0015114547639977754
5,0.0014935146481046269
3,0.0014935146481046269
资金,0.0014890296191313395
20,0.0014755745322114781
鼓掌,0.0014396943004251807
点,0.0013948440106923091
才,0.0013813889237724475
冲冲,0.0013634488078792988
40,0.0013455086919861503
疫情,0.0013365386340395758
机会,0.0013275685760930015
10,0.0013096284601998528
中,0.0013051434312265657
2,0.0013051434312265657
去,0.0012916883443067043
减持,0.0012827182863601298
赚,0.0012737482284135555
大盘,0.0012602931414936942
赞,0.0012558081125204068
一季度,0.0012423530256005454
市场,0.0012378679966272583
出货,0.001233382967653971
涨涨,0.001233382967653971
净,0.001233382967653971
筹码,0.001233382967653971
个点,0.0012288979386806838
亿元,0.0012154428517608224
分红,0.0011975027358676737
出,0.0011930177068943866
拳头,0.0011885326779210994
昨天,0.0011840476489478123
财力,0.0011616225040813764
太,0.0011616225040813764
大跌,0.0011436823881882277
万元,0.0011391973592149406
1,0.0011078021564019304
50,0.0010898620405087817
快,0.0010853770115354946
捂脸,0.0010674368956423458
吃瓜,0.0010584668376957716
摊手,0.00104501175077591
钱,0.00104501175077591
抄底,0.00104501175077591
4,0.00104501175077591
30,0.0010360416928293357
股东,0.0010315566638560486
买买,0.0010315566638560486
进场,0.0010270716348827614
胜利,0.0010270716348827614
估计,0.001018101576936187
利润,0.001018101576936187
阿兹夫定,0.0010091315189896127
连续,0.0010046464900163256
国家队,0.0010001614610430384
真,0.0009822213451498897
大涨,0.0009822213451498897
希望,0.0009822213451498897
8,0.0009687662582300282
发,0.000964281229256741
反弹,0.000964281229256741
高,0.0009508261423368795
低,0.0009463411133635923
上海,0.0009463411133635923
周一,0.0009418560843903052
国内,0.000937371055417018
盘,0.0009284009974704436
赶紧,0.0009239159684971565
走势,0.0009239159684971565
下,0.000910460881577295
沪,0.000910460881577295
100,0.0009059758526040078
小,0.0009014908236307206
后,0.0009014908236307206
融券,0.0008970057946574335
开盘,0.0008970057946574335
真的,0.0008970057946574335
2022,0.0008925207656841463
明德,0.0008700956208177105
万股,0.0008700956208177105
已,0.0008656105918444234
股通,0.0008611255628711361
拉,0.000856640533897849
投资,0.0008387004180047004
第一,0.0008252453310848389
福,0.0008252453310848389
割肉,0.0008162752731382645
笑,0.0008117902441649774
下周,0.000802820186218403
市值,0.0007848800703252543
吃,0.0007848800703252543
消息,0.0007803950413519671
试剂,0.0007803950413519671
完,0.00077591001237868
看好,0.000748999838538957
转发,0.0007400297805923826
利空,0.0007310597226458083
投资者,0.0007265746936725211
买进,0.0007131196067526596
收盘,0.0007131196067526596
涨停板,0.0007086345777793725
收益,0.0007086345777793725
干,0.0007086345777793725
每股,0.0006996645198327981
核酸,0.0006996645198327981
200,0.000695179490859511
季报,0.000695179490859511
复兴,0.000695179490859511
偿还,0.0006906944618862238
只,0.0006862094329129366
市盈率,0.0006862094329129366
行情,0.0006862094329129366
呵呵,0.0006862094329129366
7,0.0006817244039396494
不到,0.0006817244039396494
产品,0.0006817244039396494
暴跌,0.0006817244039396494
割,0.0006817244039396494
玩,0.0006727543459930751
天,0.0006682693170197879
进,0.0006682693170197879
几个,0.0006682693170197879
感觉,0.0006637842880465008
肯定,0.0006592992590732136
中国,0.0006548142300999264
6,0.0006503292011266393
庄家,0.0006458441721533521
预期,0.0006413591431800649
美国,0.0006323890852334906
股份,0.0006279040562602034
报,0.0006234190272869163
定增,0.0006234190272869163
更,0.0006189339983136291
冲刺,0.0006189339983136291
红,0.0006189339983136291
