date,open,high,low,volume,sentiment
2021/7/5 10:30,77.73,78.5,76.54,725305,0.5
2021/7/5 11:30,78.28,78.29,77.23,253126,0.5
2021/7/5 14:00,77.44,77.44,76.4,343055,0.5
2021/7/5 15:00,76.95,77.17,76.43,343649,0.5
2021/7/6 10:30,75.88,77,75.28,701623,0.307689682
2021/7/6 11:30,75.29,75.31,73.01,998873,0.308588633
2021/7/6 14:00,73.25,74.48,73.19,270254,0.339211708
2021/7/6 15:00,74.25,74.29,74,281139,0.284579098
2021/7/7 10:30,73.4,74.7,73.24,458746,0.338760625
2021/7/7 11:30,74.18,74.38,73.88,185662,0.473135912
2021/7/7 14:00,73.99,73.99,73.24,341751,0.489369906
2021/7/7 15:00,73.7,73.89,73.61,350679,0.396610124
2021/7/8 10:30,73.7,74.14,71.55,995444,0.422469728
2021/7/8 11:30,71.91,72.19,71.66,296082,0.352980377
2021/7/8 14:00,71.97,72.28,71.2,280896,0.0607332
2021/7/8 15:00,71.43,71.66,71.17,466181,0.227126127
2021/7/9 10:30,71.69,73.83,71.12,894641,0.061809449
2021/7/9 11:30,72.65,73.39,72.4,189889,0.448108958
2021/7/9 14:00,72.65,73.13,72.46,167933,0.5
2021/7/9 15:00,73.12,73.38,72.75,290832,0.5
2021/7/12 10:30,72.57,73.77,71.47,785168,0.549386096
2021/7/12 11:30,72.74,72.95,72.27,345220,0.228006507
2021/7/12 14:00,72.9,74.2,72.77,510380,0.488915008
2021/7/12 15:00,73.97,74.5,73.69,445515,0.472226364
2021/7/13 10:30,74,76.5,73.61,1057998,0.297054748
2021/7/13 11:30,74.89,75.3,74.56,228869,0.95204392
2021/7/13 14:00,75.02,75.39,74.48,305678,0.658909619
2021/7/13 15:00,75.39,75.6,75.19,353793,0.329997736
2021/7/14 10:30,75.6,77.18,74.3,885975,0.012856251
2021/7/14 11:30,76.45,76.68,75.47,384696,0.361945514
2021/7/14 14:00,75.5,76.37,74.54,420534,0.236696999
2021/7/14 15:00,74.65,74.93,73.78,550405,0.155436815
2021/7/15 10:30,68.9,70.5,66.65,6611940,0.383460331
2021/7/15 11:30,68.03,68.27,66.68,2119335,0.406284932
2021/7/15 14:00,66.75,67.4,66,2128144,0.398754507
2021/7/15 15:00,66.42,66.47,65.4,3295475,0.463829705
2021/7/16 10:30,66,66,64.7,5669116,0.564650599
2021/7/16 11:30,64.93,66.44,64.93,2387369,0.526370453
2021/7/16 14:00,66.13,66.69,65.86,2796986,0.396303086
2021/7/16 15:00,66.05,66.05,65.08,2085204,0.400778329
2021/7/19 10:30,65.22,65.22,63.4,3961438,0.450099353
2021/7/19 11:30,63.4,63.9,63,1472888,0.428009065
2021/7/19 14:00,63.65,63.85,62.84,1226890,0.339698807
2021/7/19 15:00,63.14,63.25,62.72,1142358,0.296647087
2021/7/20 10:30,63.44,64.02,62.73,1855283,0.540639689
2021/7/20 11:30,62.99,63.39,62.85,987813,0.420008188
2021/7/20 14:00,62.95,63.35,62.95,523748,0.354477836
2021/7/20 15:00,63.13,63.3,63.1,570806,0.26677226
2021/7/21 10:30,62.95,63.65,62.3,2022061,0.286420149
2021/7/21 11:30,62.33,62.55,61.77,1681091,0.321954118
2021/7/21 14:00,62.1,62.79,61.96,1002566,0.198429446
2021/7/21 15:00,62.2,62.7,62.09,1111687,0.311514315
2021/7/22 10:30,62.96,63.8,62.53,2365700,0.372798109
2021/7/22 11:30,63.3,63.3,62.58,778411,0.384675595
2021/7/22 14:00,62.99,63.66,62.72,1228911,0.753997622
2021/7/22 15:00,63.6,64.5,63.58,2600111,0.681156595
2021/7/23 10:30,63.3,63.5,61.8,2509552,0.511736411
2021/7/23 11:30,61.96,62.2,61.84,587100,0.443039726
2021/7/23 14:00,61.93,62.5,61.93,782876,0.6044097
2021/7/23 15:00,62.32,62.36,61.99,727828,0.279287564
2021/7/26 10:30,61.86,62.57,61.16,1684760,0.256114892
2021/7/26 11:30,61.39,61.57,59.89,1262114,0.237072559
2021/7/26 14:00,60.18,61.9,59.98,1625120,0.187386582
2021/7/26 15:00,61.58,61.88,61.16,1138999,0.374228516
2021/7/27 10:30,60.8,61.88,60.32,1230289,0.490278635
2021/7/27 11:30,60.42,61.34,60.42,611022,0.381851649
2021/7/27 14:00,61.06,61.06,60.2,1126872,0.514927907
2021/7/27 15:00,60.44,60.55,59.38,1822156,0.491377611
2021/7/28 10:30,59.11,59.57,56.89,2327421,0.379869075
2021/7/28 11:30,57.45,58.3,57.38,934067,0.375745071
2021/7/28 14:00,57.47,57.7,57.27,1302770,0.378862204
2021/7/28 15:00,57.43,57.55,57.15,1216077,0.309698797
2021/7/29 10:30,58,58.96,57.72,2729156,0.495031342
2021/7/29 11:30,58.74,58.81,58.1,1042828,0.508008743
2021/7/29 14:00,58.17,58.66,58.01,1182916,0.496659064
2021/7/29 15:00,58.11,58.45,58.11,1527765,0.394307349
2021/7/30 10:30,58.3,59,57.5,2311710,0.339400319
2021/7/30 11:30,58.45,58.87,58.32,1172424,0.543209952
2021/7/30 14:00,58.49,60.18,58.44,3037543,0.320169387
2021/7/30 15:00,60.03,60.97,60.01,2027582,0.499593646
2021/8/2 10:30,60.04,61.76,59.56,3203679,0.135851888
2021/8/2 11:30,60.68,61.33,60.45,1592801,0.1873707
2021/8/2 14:00,61.23,61.98,61.12,1654868,0.430644752
2021/8/2 15:00,61.59,61.75,61.09,1305602,0.225470235
2021/8/3 10:30,61.17,63.66,61.02,4593203,0.750409544
2021/8/3 11:30,63.4,63.47,62.62,1423412,0.535715493
2021/8/3 14:00,62.62,63.15,62.35,1378130,0.433482425
2021/8/3 15:00,63.14,63.2,62.75,1219411,0.410347137
